productID;price_per_one
10002;0.85
10080;0.85
10120;0.21
10123C;0.65
10124A;0.42
10124G;0.42
10125;0.42
10133;0.42
10135;0.42
11001;1.69
15034;0.14
15036;0.53
15039;0.85
15044A;2.95
15044B;2.95
15044C;2.95
15044D;2.95
15056BL;4.95
15056N;4.25
15056P;4.6
15056bl;12.46
15056n;12.46
15056p;12.46
15058A;7.95
15058B;7.95
15058C;7.95
15060B;2.95
16008;0.25
16010;0.12
16011;0.21
16012;0.21
16014;0.32
16015;0.5
16016;0.72
16033;0.0
16045;0.12
16046;0.85
16048;0.42
16052;0.42
16054;0.42
16156L;0.42
16156S;0.42
16161M;0.42
16161P;0.42
16161U;0.42
16162L;0.65
16168M;0.42
16169K;0.42
16169M;0.42
16169N;0.42
16169P;0.42
16202E;5.55
16206B;1.25
16207A;2.95
16207B;0.0
16216;0.16
16218;0.16
16219;0.21
16225;0.42
16235;0.16
16236;0.21
16237;0.16
16238;0.21
16258A;0.42
17001;0.29
17003;0.16
17007B;2.1
17011A;0.0
17011F;2.1
17012A;0.5
17012B;0.5
17012C;0.5
17012D;2.46
17012E;0.5
17012F;0.5
17013D;0.42
17014A;0.42
17021;0.24
17028J;0.42
17038;0.07
17084A;0.21
17084J;0.21
17084N;0.21
17084P;0.21
17084R;0.16
17090A;0.85
17090D;1.25
17091A;0.0
17091J;0.38
17096;0.17
17107D;2.55
17109D;1.69
17129F;1.63
17136A;0.21
17164B;0.42
17165D;0.0
17174;0.42
18007;0.06
18094C;1.25
18097A;2.55
18097C;1.95
18098C;0.0
18098c;5.06
20615;0.0
20616;0.75
20617;1.63
20618;1.63
20619;0.75
20622;0.75
20652;0.0
20653;0.83
20654;0.83
20655;0.83
20657;1.25
20658;1.25
20659;0.83
20661;2.95
20662;2.46
20663;2.46
20664;2.95
20665;2.95
20666;2.95
20668;0.1
20669;1.25
20670;2.95
20671;1.25
20674;1.06
20675;1.06
20676;1.06
20677;1.06
20679;4.6
20681;3.25
20682;0.0
20684;0.0
20685;0.0
20686;3.25
20694;3.75
20695;4.25
20696;3.29
20697;2.55
20698;2.55
20699;0.0
20700;3.75
20701;3.75
20702;4.25
20703;4.25
20704;1.95
20705;1.95
20707;0.83
20711;1.65
20712;1.65
20713;1.65
20716;1.25
20717;0.83
20718;1.06
20719;0.0
20723;0.72
20724;0.0
20725;1.45
20726;0.0
20727;1.45
20728;1.45
20731;1.25
20733;0.72
20734;0.0
20735;0.72
20738;0.0
20748;0.0
20749;6.35
20750;6.35
20751;1.69
20752;2.1
20754;2.1
20755;0.85
20756;0.85
20757;0.85
20758;0.85
20759;0.85
20760;0.85
20761;3.75
20762;3.75
20763;3.75
20764;3.75
20765;3.75
20766;3.75
20767;2.55
20768;2.55
20769;2.55
20770;2.1
20771;2.55
20772;2.55
20773;1.65
20774;1.65
20775;1.65
20777;1.65
20778;1.65
20780;4.65
20781;5.49
20782;5.49
20785;39.95
20793;6.75
20794;2.55
20795;2.1
20798;0.0
20801;0.75
20802;0.42
20803;0.42
20818;3.75
20819;2.46
20820;4.95
20826;2.12
20828;2.1
20829;2.1
20830;2.1
20831;2.1
20832;0.79
20835;11.02
20837;2.95
20839;2.95
20840;9.32
20845;6.35
20846;1.25
20847;3.75
20848;2.95
20849;0.0
20851;5.95
20854;0.0
20856;1.63
20857;1.65
20860;2.1
20861;2.1
20864;0.0
20866;0.83
20867;0.83
20868;0.83
20869;0.83
20871;4.21
20878;0.0
20886;1.95
20892;0.0
20893;2.1
20894;2.95
20897;2.95
20898;2.95
20902;5.55
20903;6.35
20906;2.95
20910;0.0
20914;2.55
20931;2.95
20932;3.75
20933;3.75
20934;4.95
20936;2.95
20941;0.0
20950;0.0
20954;8.47
20956;0.0
20957;1.45
20960;2.46
20961;1.25
20963;1.25
20966;0.0
20967;3.75
20969;3.29
20970;3.75
20971;1.06
20972;1.06
20973;0.55
20974;0.65
20975;0.65
20977;1.25
20978;1.25
20979;1.06
20980;1.25
20981;0.85
20982;0.85
20983;0.85
20984;0.85
20985;1.06
20986;1.25
20992;0.85
20996;0.42
20998;2.95
21000;3.29
21001;4.13
21002;3.29
21003;6.35
21009;0.0
21011;0.0
21012;2.1
21014;0.85
21015;1.25
21018;0.85
21025;0.83
21026;0.83
21027;0.0
21028;0.83
21030;0.83
21031;0.83
21032;0.83
21033;2.46
21034;0.95
21035;2.75
21038;2.95
21039;2.55
21040;0.0
21041;2.95
21042;5.95
21043;4.13
21051;1.63
21054;0.0
21055;7.46
21056;8.95
21058;0.72
21059;0.85
21060;0.85
21061;0.85
21062;0.85
21063;0.85
21064;5.95
21065;1.25
21066;1.25
21067;1.25
21068;1.06
21069;1.06
21070;1.06
21071;1.06
21078;0.64
21080;0.0
21082;1.63
21084;0.65
21086;0.53
21087;0.0
21088;0.65
21089;0.65
21090;0.83
21094;0.64
21095;0.85
21096;0.85
21098;1.06
21100;1.65
21106;2.95
21107;2.55
21108;2.1
21109;1.95
21110;1.95
21111;1.25
21112;1.25
21114;1.25
21115;5.95
21116;0.0
21117;6.75
21120;16.98
21121;1.06
21122;1.06
21123;1.25
21124;1.06
21125;1.25
21126;1.25
21128;6.95
21129;6.95
21131;3.75
21132;4.25
21134;0.0
21135;1.69
21136;1.69
21137;3.39
21143;1.95
21144;0.38
21145;1.25
21147;2.1
21154;1.06
21155;2.1
21156;1.65
21157;2.1
21158;1.45
21159;1.45
21160;3.36
21161;0.0
21162;1.45
21163;1.45
21164;2.55
21165;1.45
21166;1.53
21167;0.21
21169;1.45
21171;1.25
21172;0.0
21174;1.65
21175;1.85
21179;1.25
21181;1.53
21186;0.0
21187;1.45
21188;2.95
21189;1.65
21190;1.45
21191;1.69
21192;1.45
21194;1.63
21195;0.65
21196;1.65
21197;0.42
21198;0.42
21199;0.42
21200;0.65
21201;2.1
21202;0.65
21204;1.65
21205;2.46
21206;0.65
21207;1.45
21208;1.45
21209;0.65
21210;1.25
21211;1.45
21212;0.4
21213;0.4
21215;0.42
21216;4.25
21217;8.95
21218;3.25
21219;0.83
21220;0.83
21221;0.83
21222;0.83
21224;0.83
21226;1.25
21228;1.25
21231;1.06
21232;0.0
21238;0.72
21239;0.72
21240;0.72
21242;1.45
21243;1.45
21244;1.45
21245;1.45
21246;4.95
21248;0.0
21249;2.55
21250;2.95
21251;2.95
21253;2.95
21257;6.95
21258;0.0
21259;4.95
21260;3.25
21261;7.62
21262;2.95
21263;5.91
21264;5.91
21265;5.79
