record_id,region,trending_date,category_title,videos_count
1,France,2017-11-14 00:00:00.000000,Autos & Vehicles,8
2,France,2017-11-15 00:00:00.000000,Autos & Vehicles,2
3,France,2017-11-16 00:00:00.000000,Autos & Vehicles,6
4,France,2017-11-17 00:00:00.000000,Autos & Vehicles,8
5,France,2017-11-18 00:00:00.000000,Autos & Vehicles,4
6,France,2017-11-19 00:00:00.000000,Autos & Vehicles,10
7,France,2017-11-20 00:00:00.000000,Autos & Vehicles,12
8,France,2017-11-21 00:00:00.000000,Autos & Vehicles,8
9,France,2017-11-22 00:00:00.000000,Autos & Vehicles,4
10,France,2017-11-23 00:00:00.000000,Autos & Vehicles,6
11,France,2017-11-24 00:00:00.000000,Autos & Vehicles,8
12,France,2017-11-25 00:00:00.000000,Autos & Vehicles,8
13,France,2017-11-26 00:00:00.000000,Autos & Vehicles,10
14,France,2017-11-27 00:00:00.000000,Autos & Vehicles,26
15,France,2017-11-28 00:00:00.000000,Autos & Vehicles,16
16,France,2017-11-29 00:00:00.000000,Autos & Vehicles,4
17,France,2017-11-30 00:00:00.000000,Autos & Vehicles,10
18,France,2017-12-01 00:00:00.000000,Autos & Vehicles,12
19,France,2017-12-02 00:00:00.000000,Autos & Vehicles,6
20,France,2017-12-03 00:00:00.000000,Autos & Vehicles,4
21,France,2017-12-04 00:00:00.000000,Autos & Vehicles,8
22,France,2017-12-05 00:00:00.000000,Autos & Vehicles,8
23,France,2017-12-06 00:00:00.000000,Autos & Vehicles,8
24,France,2017-12-07 00:00:00.000000,Autos & Vehicles,6
25,France,2017-12-08 00:00:00.000000,Autos & Vehicles,2
26,France,2017-12-09 00:00:00.000000,Autos & Vehicles,4
27,France,2017-12-10 00:00:00.000000,Autos & Vehicles,2
28,France,2017-12-12 00:00:00.000000,Autos & Vehicles,4
29,France,2017-12-13 00:00:00.000000,Autos & Vehicles,6
30,France,2017-12-14 00:00:00.000000,Autos & Vehicles,4
31,France,2017-12-16 00:00:00.000000,Autos & Vehicles,6
32,France,2017-12-17 00:00:00.000000,Autos & Vehicles,4
33,France,2017-12-18 00:00:00.000000,Autos & Vehicles,8
34,France,2017-12-19 00:00:00.000000,Autos & Vehicles,8
35,France,2017-12-20 00:00:00.000000,Autos & Vehicles,2
36,France,2017-12-21 00:00:00.000000,Autos & Vehicles,6
37,France,2017-12-22 00:00:00.000000,Autos & Vehicles,8
38,France,2017-12-23 00:00:00.000000,Autos & Vehicles,8
39,France,2017-12-24 00:00:00.000000,Autos & Vehicles,2
40,France,2017-12-26 00:00:00.000000,Autos & Vehicles,4
41,France,2017-12-27 00:00:00.000000,Autos & Vehicles,4
42,France,2017-12-28 00:00:00.000000,Autos & Vehicles,10
43,France,2017-12-29 00:00:00.000000,Autos & Vehicles,6
44,France,2017-12-30 00:00:00.000000,Autos & Vehicles,6
45,France,2017-12-31 00:00:00.000000,Autos & Vehicles,6
46,France,2018-01-01 00:00:00.000000,Autos & Vehicles,2
47,France,2018-01-02 00:00:00.000000,Autos & Vehicles,2
48,France,2018-01-03 00:00:00.000000,Autos & Vehicles,4
49,France,2018-01-04 00:00:00.000000,Autos & Vehicles,2
50,France,2018-01-05 00:00:00.000000,Autos & Vehicles,8
51,France,2018-01-06 00:00:00.000000,Autos & Vehicles,2
52,France,2018-01-08 00:00:00.000000,Autos & Vehicles,6
53,France,2018-01-09 00:00:00.000000,Autos & Vehicles,8
54,France,2018-01-12 00:00:00.000000,Autos & Vehicles,10
55,France,2018-01-14 00:00:00.000000,Autos & Vehicles,2
56,France,2018-01-15 00:00:00.000000,Autos & Vehicles,2
57,France,2018-01-16 00:00:00.000000,Autos & Vehicles,8
58,France,2018-01-17 00:00:00.000000,Autos & Vehicles,2
59,France,2018-01-18 00:00:00.000000,Autos & Vehicles,6
60,France,2018-01-19 00:00:00.000000,Autos & Vehicles,6
61,France,2018-01-21 00:00:00.000000,Autos & Vehicles,4
62,France,2018-01-22 00:00:00.000000,Autos & Vehicles,2
63,France,2018-01-23 00:00:00.000000,Autos & Vehicles,12
64,France,2018-01-24 00:00:00.000000,Autos & Vehicles,6
65,France,2018-01-25 00:00:00.000000,Autos & Vehicles,12
66,France,2018-01-26 00:00:00.000000,Autos & Vehicles,4
67,France,2018-01-27 00:00:00.000000,Autos & Vehicles,10
68,France,2018-01-28 00:00:00.000000,Autos & Vehicles,16
69,France,2018-01-29 00:00:00.000000,Autos & Vehicles,14
70,France,2018-01-30 00:00:00.000000,Autos & Vehicles,12
71,France,2018-01-31 00:00:00.000000,Autos & Vehicles,2
72,France,2018-02-01 00:00:00.000000,Autos & Vehicles,6
73,France,2018-02-02 00:00:00.000000,Autos & Vehicles,6
74,France,2018-02-03 00:00:00.000000,Autos & Vehicles,14
75,France,2018-02-04 00:00:00.000000,Autos & Vehicles,4
76,France,2018-02-05 00:00:00.000000,Autos & Vehicles,6
77,France,2018-02-06 00:00:00.000000,Autos & Vehicles,10
78,France,2018-02-07 00:00:00.000000,Autos & Vehicles,6
79,France,2018-02-08 00:00:00.000000,Autos & Vehicles,10
80,France,2018-02-09 00:00:00.000000,Autos & Vehicles,8
81,France,2018-02-10 00:00:00.000000,Autos & Vehicles,6
82,France,2018-02-11 00:00:00.000000,Autos & Vehicles,2
83,France,2018-02-12 00:00:00.000000,Autos & Vehicles,6
84,France,2018-02-13 00:00:00.000000,Autos & Vehicles,8
85,France,2018-02-14 00:00:00.000000,Autos & Vehicles,2
86,France,2018-02-15 00:00:00.000000,Autos & Vehicles,8
87,France,2018-02-16 00:00:00.000000,Autos & Vehicles,8
88,France,2018-02-17 00:00:00.000000,Autos & Vehicles,4
89,France,2018-02-18 00:00:00.000000,Autos & Vehicles,4
90,France,2018-02-19 00:00:00.000000,Autos & Vehicles,2
91,France,2018-02-20 00:00:00.000000,Autos & Vehicles,8
92,France,2018-02-21 00:00:00.000000,Autos & Vehicles,6
93,France,2018-02-22 00:00:00.000000,Autos & Vehicles,2
94,France,2018-02-23 00:00:00.000000,Autos & Vehicles,10
95,France,2018-02-24 00:00:00.000000,Autos & Vehicles,4
96,France,2018-02-25 00:00:00.000000,Autos & Vehicles,6
97,France,2018-02-26 00:00:00.000000,Autos & Vehicles,12
98,France,2018-02-27 00:00:00.000000,Autos & Vehicles,8
99,France,2018-02-28 00:00:00.000000,Autos & Vehicles,6
100,France,2018-03-01 00:00:00.000000,Autos & Vehicles,4
101,France,2018-03-02 00:00:00.000000,Autos & Vehicles,4
102,France,2018-03-03 00:00:00.000000,Autos & Vehicles,6
103,France,2018-03-04 00:00:00.000000,Autos & Vehicles,4
104,France,2018-03-05 00:00:00.000000,Autos & Vehicles,10
105,France,2018-03-06 00:00:00.000000,Autos & Vehicles,16
106,France,2018-03-07 00:00:00.000000,Autos & Vehicles,14
107,France,2018-03-08 00:00:00.000000,Autos & Vehicles,8
108,France,2018-03-09 00:00:00.000000,Autos & Vehicles,16
109,France,2018-03-10 00:00:00.000000,Autos & Vehicles,6
110,France,2018-03-11 00:00:00.000000,Autos & Vehicles,4
111,France,2018-03-12 00:00:00.000000,Autos & Vehicles,6
112,France,2018-03-13 00:00:00.000000,Autos & Vehicles,6
113,France,2018-03-14 00:00:00.000000,Autos & Vehicles,6
114,France,2018-03-15 00:00:00.000000,Autos & Vehicles,6
115,France,2018-03-16 00:00:00.000000,Autos & Vehicles,8
116,France,2018-03-17 00:00:00.000000,Autos & Vehicles,8
117,France,2018-03-18 00:00:00.000000,Autos & Vehicles,8
118,France,2018-03-19 00:00:00.000000,Autos & Vehicles,8
119,France,2018-03-20 00:00:00.000000,Autos & Vehicles,2
120,France,2018-03-21 00:00:00.000000,Autos & Vehicles,4
121,France,2018-03-22 00:00:00.000000,Autos & Vehicles,4
122,France,2018-03-23 00:00:00.000000,Autos & Vehicles,12
123,France,2018-03-24 00:00:00.000000,Autos & Vehicles,6
124,France,2018-03-25 00:00:00.000000,Autos & Vehicles,6
125,France,2018-03-26 00:00:00.000000,Autos & Vehicles,10
126,France,2018-03-27 00:00:00.000000,Autos & Vehicles,2
127,France,2018-03-28 00:00:00.000000,Autos & Vehicles,8
128,France,2018-03-29 00:00:00.000000,Autos & Vehicles,2
129,France,2018-03-30 00:00:00.000000,Autos & Vehicles,8
130,France,2018-03-31 00:00:00.000000,Autos & Vehicles,8
131,France,2018-04-01 00:00:00.000000,Autos & Vehicles,14
132,France,2018-04-02 00:00:00.000000,Autos & Vehicles,8
133,France,2018-04-03 00:00:00.000000,Autos & Vehicles,4
134,France,2018-04-04 00:00:00.000000,Autos & Vehicles,4
135,France,2018-04-05 00:00:00.000000,Autos & Vehicles,8
136,France,2018-04-06 00:00:00.000000,Autos & Vehicles,10
137,France,2018-04-07 00:00:00.000000,Autos & Vehicles,10
138,France,2018-04-14 00:00:00.000000,Autos & Vehicles,4
139,France,2018-04-16 00:00:00.000000,Autos & Vehicles,4
140,France,2018-04-17 00:00:00.000000,Autos & Vehicles,6
141,France,2018-04-18 00:00:00.000000,Autos & Vehicles,8
142,France,2018-04-19 00:00:00.000000,Autos & Vehicles,8
143,France,2018-04-20 00:00:00.000000,Autos & Vehicles,10
144,France,2018-04-21 00:00:00.000000,Autos & Vehicles,8
145,France,2018-04-23 00:00:00.000000,Autos & Vehicles,14
146,France,2018-04-24 00:00:00.000000,Autos & Vehicles,10
147,France,2018-04-25 00:00:00.000000,Autos & Vehicles,4
148,France,2018-04-26 00:00:00.000000,Autos & Vehicles,4
149,France,2018-04-27 00:00:00.000000,Autos & Vehicles,2
150,France,2018-04-28 00:00:00.000000,Autos & Vehicles,8
151,France,2018-04-29 00:00:00.000000,Autos & Vehicles,4
152,France,2018-04-30 00:00:00.000000,Autos & Vehicles,6
153,France,2018-05-01 00:00:00.000000,Autos & Vehicles,6
154,France,2018-05-02 00:00:00.000000,Autos & Vehicles,2
155,France,2018-05-03 00:00:00.000000,Autos & Vehicles,8
156,France,2018-05-04 00:00:00.000000,Autos & Vehicles,6
157,France,2018-05-05 00:00:00.000000,Autos & Vehicles,6
158,France,2018-05-06 00:00:00.000000,Autos & Vehicles,2
159,France,2018-05-08 00:00:00.000000,Autos & Vehicles,6
160,France,2018-05-09 00:00:00.000000,Autos & Vehicles,2
161,France,2018-05-10 00:00:00.000000,Autos & Vehicles,8
162,France,2018-05-11 00:00:00.000000,Autos & Vehicles,2
163,France,2018-05-12 00:00:00.000000,Autos & Vehicles,2
164,France,2018-05-13 00:00:00.000000,Autos & Vehicles,6
165,France,2018-05-14 00:00:00.000000,Autos & Vehicles,4
166,France,2018-05-15 00:00:00.000000,Autos & Vehicles,6
167,France,2018-05-16 00:00:00.000000,Autos & Vehicles,2
168,France,2018-05-17 00:00:00.000000,Autos & Vehicles,2
169,France,2018-05-18 00:00:00.000000,Autos & Vehicles,6
170,France,2018-05-19 00:00:00.000000,Autos & Vehicles,6
171,France,2018-05-20 00:00:00.000000,Autos & Vehicles,4
172,France,2018-05-21 00:00:00.000000,Autos & Vehicles,4
173,France,2018-05-22 00:00:00.000000,Autos & Vehicles,2
174,France,2018-05-23 00:00:00.000000,Autos & Vehicles,2
175,France,2018-05-24 00:00:00.000000,Autos & Vehicles,6
176,France,2018-05-25 00:00:00.000000,Autos & Vehicles,12
177,France,2018-05-26 00:00:00.000000,Autos & Vehicles,4
178,France,2018-05-27 00:00:00.000000,Autos & Vehicles,6
179,France,2018-05-29 00:00:00.000000,Autos & Vehicles,2
180,France,2018-05-30 00:00:00.000000,Autos & Vehicles,8
181,France,2018-05-31 00:00:00.000000,Autos & Vehicles,4
182,France,2018-06-01 00:00:00.000000,Autos & Vehicles,4
183,France,2018-06-03 00:00:00.000000,Autos & Vehicles,2
184,France,2018-06-04 00:00:00.000000,Autos & Vehicles,4
185,France,2018-06-05 00:00:00.000000,Autos & Vehicles,6
186,France,2018-06-06 00:00:00.000000,Autos & Vehicles,2
187,France,2018-06-08 00:00:00.000000,Autos & Vehicles,8
188,France,2018-06-09 00:00:00.000000,Autos & Vehicles,6
189,France,2018-06-10 00:00:00.000000,Autos & Vehicles,2
190,France,2018-06-11 00:00:00.000000,Autos & Vehicles,4
191,France,2018-06-12 00:00:00.000000,Autos & Vehicles,4
192,France,2018-06-13 00:00:00.000000,Autos & Vehicles,4
193,France,2018-06-14 00:00:00.000000,Autos & Vehicles,2
194,France,2017-11-14 00:00:00.000000,Comedy,46
195,France,2017-11-15 00:00:00.000000,Comedy,38
196,France,2017-11-16 00:00:00.000000,Comedy,56
197,France,2017-11-17 00:00:00.000000,Comedy,62
198,France,2017-11-18 00:00:00.000000,Comedy,70
199,France,2017-11-19 00:00:00.000000,Comedy,56
200,France,2017-11-20 00:00:00.000000,Comedy,50
201,France,2017-11-21 00:00:00.000000,Comedy,42
202,France,2017-11-22 00:00:00.000000,Comedy,42
203,France,2017-11-23 00:00:00.000000,Comedy,50
204,France,2017-11-24 00:00:00.000000,Comedy,52
205,France,2017-11-25 00:00:00.000000,Comedy,68
206,France,2017-11-26 00:00:00.000000,Comedy,66
207,France,2017-11-27 00:00:00.000000,Comedy,44
208,France,2017-11-28 00:00:00.000000,Comedy,48
209,France,2017-11-29 00:00:00.000000,Comedy,50
210,France,2017-11-30 00:00:00.000000,Comedy,46
211,France,2017-12-01 00:00:00.000000,Comedy,54
212,France,2017-12-02 00:00:00.000000,Comedy,58
213,France,2017-12-03 00:00:00.000000,Comedy,48
214,France,2017-12-04 00:00:00.000000,Comedy,40
215,France,2017-12-05 00:00:00.000000,Comedy,48
216,France,2017-12-06 00:00:00.000000,Comedy,28
217,France,2017-12-07 00:00:00.000000,Comedy,38
218,France,2017-12-08 00:00:00.000000,Comedy,44
219,France,2017-12-09 00:00:00.000000,Comedy,58
220,France,2017-12-10 00:00:00.000000,Comedy,46
221,France,2017-12-11 00:00:00.000000,Comedy,50
222,France,2017-12-12 00:00:00.000000,Comedy,46
223,France,2017-12-13 00:00:00.000000,Comedy,38
224,France,2017-12-14 00:00:00.000000,Comedy,54
225,France,2017-12-15 00:00:00.000000,Comedy,72
226,France,2017-12-16 00:00:00.000000,Comedy,82
227,France,2017-12-17 00:00:00.000000,Comedy,64
228,France,2017-12-18 00:00:00.000000,Comedy,56
229,France,2017-12-19 00:00:00.000000,Comedy,50
230,France,2017-12-20 00:00:00.000000,Comedy,60
231,France,2017-12-21 00:00:00.000000,Comedy,62
232,France,2017-12-22 00:00:00.000000,Comedy,74
233,France,2017-12-23 00:00:00.000000,Comedy,66
234,France,2017-12-24 00:00:00.000000,Comedy,50
235,France,2017-12-25 00:00:00.000000,Comedy,54
236,France,2017-12-26 00:00:00.000000,Comedy,40
237,France,2017-12-27 00:00:00.000000,Comedy,26
238,France,2017-12-28 00:00:00.000000,Comedy,44
239,France,2017-12-29 00:00:00.000000,Comedy,44
240,France,2017-12-30 00:00:00.000000,Comedy,38
241,France,2017-12-31 00:00:00.000000,Comedy,36
242,France,2018-01-01 00:00:00.000000,Comedy,42
243,France,2018-01-02 00:00:00.000000,Comedy,34
244,France,2018-01-03 00:00:00.000000,Comedy,32
245,France,2018-01-04 00:00:00.000000,Comedy,42
246,France,2018-01-05 00:00:00.000000,Comedy,36
247,France,2018-01-06 00:00:00.000000,Comedy,34
248,France,2018-01-07 00:00:00.000000,Comedy,42
249,France,2018-01-08 00:00:00.000000,Comedy,38
250,France,2018-01-09 00:00:00.000000,Comedy,48
251,France,2018-01-12 00:00:00.000000,Comedy,54
252,France,2018-01-13 00:00:00.000000,Comedy,52
253,France,2018-01-14 00:00:00.000000,Comedy,44
254,France,2018-01-15 00:00:00.000000,Comedy,42
255,France,2018-01-16 00:00:00.000000,Comedy,42
256,France,2018-01-17 00:00:00.000000,Comedy,48
257,France,2018-01-18 00:00:00.000000,Comedy,56
258,France,2018-01-19 00:00:00.000000,Comedy,42
259,France,2018-01-20 00:00:00.000000,Comedy,52
260,France,2018-01-21 00:00:00.000000,Comedy,56
261,France,2018-01-22 00:00:00.000000,Comedy,38
262,France,2018-01-23 00:00:00.000000,Comedy,38
263,France,2018-01-24 00:00:00.000000,Comedy,36
264,France,2018-01-25 00:00:00.000000,Comedy,44
265,France,2018-01-26 00:00:00.000000,Comedy,50
266,France,2018-01-27 00:00:00.000000,Comedy,46
267,France,2018-01-28 00:00:00.000000,Comedy,38
268,France,2018-01-29 00:00:00.000000,Comedy,44
269,France,2018-01-30 00:00:00.000000,Comedy,28
270,France,2018-01-31 00:00:00.000000,Comedy,30
271,France,2018-02-01 00:00:00.000000,Comedy,26
272,France,2018-02-02 00:00:00.000000,Comedy,30
273,France,2018-02-03 00:00:00.000000,Comedy,46
274,France,2018-02-04 00:00:00.000000,Comedy,32
275,France,2018-02-05 00:00:00.000000,Comedy,42
276,France,2018-02-06 00:00:00.000000,Comedy,48
277,France,2018-02-07 00:00:00.000000,Comedy,24
278,France,2018-02-08 00:00:00.000000,Comedy,34
279,France,2018-02-09 00:00:00.000000,Comedy,38
280,France,2018-02-10 00:00:00.000000,Comedy,28
281,France,2018-02-11 00:00:00.000000,Comedy,26
282,France,2018-02-12 00:00:00.000000,Comedy,34
283,France,2018-02-13 00:00:00.000000,Comedy,36
284,France,2018-02-14 00:00:00.000000,Comedy,28
285,France,2018-02-15 00:00:00.000000,Comedy,20
286,France,2018-02-16 00:00:00.000000,Comedy,28
287,France,2018-02-17 00:00:00.000000,Comedy,30
288,France,2018-02-18 00:00:00.000000,Comedy,30
289,France,2018-02-19 00:00:00.000000,Comedy,26
290,France,2018-02-20 00:00:00.000000,Comedy,24
291,France,2018-02-21 00:00:00.000000,Comedy,22
292,France,2018-02-22 00:00:00.000000,Comedy,40
293,France,2018-02-23 00:00:00.000000,Comedy,32
294,France,2018-02-24 00:00:00.000000,Comedy,46
295,France,2018-02-25 00:00:00.000000,Comedy,42
296,France,2018-02-26 00:00:00.000000,Comedy,44
297,France,2018-02-27 00:00:00.000000,Comedy,40
298,France,2018-02-28 00:00:00.000000,Comedy,32
299,France,2018-03-01 00:00:00.000000,Comedy,38
300,France,2018-03-02 00:00:00.000000,Comedy,46
301,France,2018-03-03 00:00:00.000000,Comedy,34
302,France,2018-03-04 00:00:00.000000,Comedy,30
303,France,2018-03-05 00:00:00.000000,Comedy,38
304,France,2018-03-06 00:00:00.000000,Comedy,30
305,France,2018-03-07 00:00:00.000000,Comedy,38
306,France,2018-03-08 00:00:00.000000,Comedy,46
307,France,2018-03-09 00:00:00.000000,Comedy,36
308,France,2018-03-10 00:00:00.000000,Comedy,30
309,France,2018-03-11 00:00:00.000000,Comedy,26
310,France,2018-03-12 00:00:00.000000,Comedy,52
311,France,2018-03-13 00:00:00.000000,Comedy,48
312,France,2018-03-14 00:00:00.000000,Comedy,48
313,France,2018-03-15 00:00:00.000000,Comedy,32
